  0 piano.sbi       Acoustic Grand Piano
  1 piano1.sbi      Bright Acoustic Piano
  2 elpiano1.sbi    Electric Grand Piano
  3 piano2.sbi      Honky-Tonk Piano
  4 piano3.sbi      Rhodes Piano
  5 piano4.sbi      Chorused Piano
  6 harpsi1.sbi     Harpsichord
  7 claves.sbi      Clavinet
  8 celesta.sbi     Celesta
  9 bells.sbi       Glockenspiel
 10 syn9.sbi        Music Box
 11 vibra1.sbi      Vibraphone
 12 marimba.sbi     Marimba
 13 xylo1.sbi       Xylophone
 14 pianobel.sbi    Tubular Bells
 15 syn9.sbi        Dulcimer
 16 elorgan1.sbi    Hammond Organ
 17 orgnperc.sbi    Percussive Organ
 18 elorgan2.sbi    Rock Organ
 19 jorgan.sbi      Church Organ
 20 organ4.sbi      Reed Organ
 21 accordn.sbi     Accordion
 22 harmonca.sbi    Harmonica
 23 syn9.sbi        Tango Accordion
 24 guitar1.sbi     Acoustic Nylon Guitar
 25 steelgt1.sbi    Acoustic Steel Guitar
 26 jazzguit.sbi    Electric Jazz Guitar
 27 elguit.sbi      Electric Clean Guitar
 28 elguit2.sbi     Electric Muted Guitar
 29 elguit3.sbi     Overdriven Guitar
 30 elguit4.sbi     Distortion Guitar
 31 elguit1c.sbi    Guitar Harmonics
 32 bass.sbi        Acoustic Bass
 33 bass1.sbi       Electric Bass Fingered
 34 bass2.sbi       Electric Bass Picked
 35 bass4.sbi       Fretless Bass
 36 jazzbas2.sbi    Slap Bass 1
 37 jazzbass.sbi    Slap Bass 2
 38 synbass.sbi     Synth Bass 1
 39 synbass1.sbi    Synth Bass 2
 40 violin.sbi      Violin
 41 altoviol.sbi    Viola
 42 cello.sbi       Cello
 43 contrab.sbi     Contrabass
 44 strings1.sbi    Tremolo Strings
 45 vlnpizz.sbi     Pizzicato Strings
 46 harp.sbi        Orchestral Harp
 47 syn9.sbi        Timpani
 48 strnlon2.sbi    String Ensemble 1
 49 strnlong.sbi    String Ensemble 2
 50 syn9.sbi        Synth Strings 1
 51 syn9.sbi        Synth Strings 2
 52 syn9.sbi        Choir Aahs
 53 syn9.sbi        Voice oohs
 54 syn9.sbi        Synth Voice
 55 syn9.sbi        Orchestra Hit
 56 trumpet.sbi     Trumpet
 57 trombone.sbi    Trombone
 58 tuba1.sbi       Tuba
 59 trumpet1.sbi    Muted Trumpet
 60 frhorn1.sbi     French Horn
 61 brass1.sbi      Brass Section
 62 brass2.sbi      Synth Brass 1
 63 brass4.sbi      Synth Brass 2
 64 sax1.sbi        Soprano Sax
 65 sax2.sbi        Alto Sax
 66 saxafone.sbi    Tenor Sax
 67 saxunder.sbi    Baritone Sax
 68 oboe.sbi        Oboe
 69 englhrn1.sbi    English Horn
 70 bassoon.sbi     Bassoon
 71 clarinet.sbi    Clarinet
 72 piccolo.sbi     Piccolo
 73 flute.sbi       Flute
 74 flute1.sbi      Recorder
 75 flute2.sbi      Pan Flute
 76 syn9.sbi        Bottle Blow
 77 syn9.sbi        Shakuhashi
 78 syn9.sbi        Whistle
 79 syn9.sbi        Ocarina
 80 syn9.sbi        Synth lead 1 - Sq wave lead
 81 syn9.sbi        Synth lead 2 - Sawtooth Wave
 82 syn9.sbi        Synth lead 3 - Caliope lead
 83 syn9.sbi        Synth lead 4 - Chiff lead
 84 syn9.sbi        Synth lead 5 - Charang
 85 syn9.sbi        Synth lead 6 - Solo Synth Voice
 86 syn9.sbi        Synth lead 7 - Bright Saw Wave
 87 syn9.sbi        Synth lead 8 - Brass and Lead
 88 syn9.sbi        Synth pad 1 - Fantasia Pad
 89 syn9.sbi        Synth pad 2 - Warm Pad
 90 syn9.sbi        Synth pad 3 - Poly Synth Pad
 91 syn9.sbi        Synth pad 4 - Space Voice Pad
 92 syn9.sbi        Synth pad 5 - Bowed Glass Pad
 93 syn9.sbi        Synth pad 6 - Metal Pad
 94 syn9.sbi        Synth pad 7 - Halo Pad
 95 syn9.sbi        Synth pad 8 - Sweep Pad
 96 syn9.sbi        Synth SFX 1 - Ice Rain
 97 syn9.sbi        Synth SFX 2 - Soundtrack
 98 syn9.sbi        Synth SFX 3 - Crystal
 99 syn9.sbi        Synth SFX 4 - Athmosphere
100 syn9.sbi        Synth SFX 5 - Brightness
101 syn9.sbi        Synth SFX 6 - Goblin
102 syn9.sbi        Synth SFX 7 - Echo drops
103 syn9.sbi        Synth SFX 8 - Star Theme
104 sitar.sbi       Sitar
105 banjo.sbi       Banjo
106 syn9.sbi        Shamisen
107 koto1.sbi       Koto
108 syn9.sbi        Kalimba
109 bagpipe1.sbi    Bagpipe
110 syn9.sbi        Fiddle
111 syn9.sbi        Shanai
112 syn9.sbi        Tinkle Bell
113 syn9.sbi        Agogo
114 bdrum.sbi       Steel Drums
115 wood1.sbi       Woodblock
116 eldrum1.sbi     Taiko Drum
117 tom.sbi         Melodic Tom
118 sdrum2.sbi      Synth Drum
119 bcymbal.sbi     Reverse Cymbal
120 syn9.sbi        Guitar Fret Noise
121 syn9.sbi        Breath Noise
122 syn9.sbi        Seashore
123 syn9.sbi        Bird Tweet
124 syn9.sbi        Telephone Ring
125 helicptr.sbi    Helicopter
126 syn9.sbi        Applause
127 gun1.sbi        Gunshot
